"source_provider","provider_dataset_id","query_term","title","authors","abstract","source_subjects","field_of_science","storage_size","candidate_score","candidate_keep","candidate_rationale","doi","paper_url","data_links","fetch_chunk"
"scientific_data","10.1038/sdata.2014.2","2014-03","The systematic identification of cytoskeletal genes required for Drosophila melanogaster muscle maintenance","Alexander D Perkins; Michael J J Lee; Guy Tanentzapf","",,,,3,FALSE,"plant_hits=1; trait_hits=0; measurement_hits=0; exclude_hits=0","10.1038/sdata.2014.2","https://doi.org/10.1038/sdata.2014.2","10.6084/m9.figshare.806269","2014-03"
"scientific_data","10.1038/sdata.2014.1","2014-03","Global integrated drought monitoring and prediction system","Zengchao Hao; Amir AghaKouchak; Navid Nakhjiri; Alireza Farahmand","<jats:title>Abstract</jats:title><jats:p>Drought is by far the most costly natural disaster that can lead to widespread impacts, including water and food crises. Here we present data sets available from the Global Integrated Drought Monitoring and Prediction System (GIDMaPS), which provides drought information based on multiple drought indicators. The system provides meteorological and agricultural drought information based on multiple satellite-, and model-based precipitation and soil moisture data sets. GIDMaPS includes a near real-time monitoring component and a seasonal probabilistic prediction module. The data sets include historical drought severity data from the monitoring component, and probabilistic seasonal forecasts from the prediction module. The probabilistic forecasts provide essential information for early warning, taking preventive measures, and planning mitigation strategies. GIDMaPS data sets are a significant extension to current capabilities and data sets for global drought assessment and early warning. The presented data sets would be instrumental in reducing drought impacts especially in developing countries. Our results indicate that GIDMaPS data sets reliably captured several major droughts from across the globe.</jats:p>",,,,3,FALSE,"plant_hits=1; trait_hits=0; measurement_hits=0; exclude_hits=0","10.1038/sdata.2014.1","https://doi.org/10.1038/sdata.2014.1","10.6084/m9.figshare.853801","2014-03"
"scientific_data","10.1038/sdata.2014.3","2014-05","A high-resolution 7-Tesla fMRI dataset from complex natural stimulation with an audio movie","Michael Hanke; Florian J. Baumgartner; Pierre Ibe; Falko R. Kaule; Stefan Pollmann; Oliver Speck; Wolf Zinke; Jörg Stadler","<jats:title>Abstract</jats:title><jats:p>Here we present a high-resolution functional magnetic resonance (fMRI) dataset – 20 participants recorded at high field strength (7 Tesla) during prolonged stimulation with an auditory feature film (“Forrest Gump”). In addition, a comprehensive set of auxiliary data (T1w, T2w, DTI, susceptibility-weighted image, angiography) as well as measurements to assess technical and physiological noise components have been acquired. An initial analysis confirms that these data can be used to study common and idiosyncratic brain response patterns to complex auditory stimulation. Among the potential uses of this dataset are the study of auditory attention and cognition, language and music perception, and social perception. The auxiliary measurements enable a large variety of additional analysis strategies that relate functional response patterns to structural properties of the brain. Alongside the acquired data, we provide source code and detailed information on all employed procedures – from stimulus creation to data analysis. In order to facilitate replicative and derived works, only free and open-source software was utilized.</jats:p>",,,,2,FALSE,"plant_hits=0; trait_hits=0; measurement_hits=1; exclude_hits=0","10.1038/sdata.2014.3","https://doi.org/10.1038/sdata.2014.3","","2014-05"
"scientific_data","10.1038/sdata.2014.7","2014-05","Systematic global assessment of reef fish communities by the Reef Life Survey program","Graham J Edgar; Rick D Stuart-Smith","",,,,-13,FALSE,"plant_hits=1; trait_hits=0; measurement_hits=0; exclude_hits=2","10.1038/sdata.2014.7","https://doi.org/10.1038/sdata.2014.7","10.6084/m9.figshare.934319","2014-05"
"scientific_data","10.1038/sdata.2014.10","2014-05","More bang for your byte","","",,,,0,FALSE,"plant_hits=0; trait_hits=0; measurement_hits=0; exclude_hits=0","10.1038/sdata.2014.10","https://doi.org/10.1038/sdata.2014.10","","2014-05"
"scientific_data","10.1038/sdata.2014.4","2014-05","A global compendium of human dengue virus occurrence","Jane P Messina; Oliver J Brady; David M Pigott; John S Brownstein; Anne G Hoen; Simon I Hay","<jats:title>Abstract</jats:title><jats:p>A global geographic database of human dengue virus occurrence was produced to generate a global risk map and associated burden estimates<jats:sup>1</jats:sup>. Herein we present the database, which comprises occurrence data linked to point or polygon locations, derived from peer-reviewed literature and case reports as well as informal online sources. Entries date from 1960 to 2012. We describe all data collection processes in full, as well as geo-positioning, database management and quality-control procedures. This is the most comprehensive database of confirmed human dengue infection to-date, consisting of 8,309 geo-positioned occurrences in total.</jats:p>",,,,2,FALSE,"plant_hits=0; trait_hits=0; measurement_hits=1; exclude_hits=0","10.1038/sdata.2014.4","https://doi.org/10.1038/sdata.2014.4","10.6084/m9.figshare.902845","2014-05"
"scientific_data","10.1038/sdata.2014.5","2014-05","miRNA expression atlas in male rat","Keiichi Minami; Takeki Uehara; Yuji Morikawa; Ko Omura; Masayuki Kanki; Akira Horinouchi; Atsushi Ono; Hiroshi Yamada; Yasuo Ohno; Tetsuro Urushidani","<jats:title>Abstract</jats:title><jats:p>MicroRNAs (miRNAs) are small (~22 nucleotide) noncoding RNAs that play pivotal roles in regulation of gene expression. The value of miRNAs as circulating biomarkers is now broadly recognized; such tissue-specific biomarkers can be used to monitor tissue injury and several pathophysiological conditions in organs. In addition, miRNA profiles of normal organs and tissues are important for obtaining a better understanding of the source of modulated miRNAs in blood and how those modulations reflect various physiological and toxicological conditions. This work was aimed at creating an miRNA atlas in rats, as part of a collaborative effort with the Toxicogenomics Informatics Project in Japan (TGP2). We analyzed genome-wide miRNA profiles of 55 different organs and tissues obtained from normal male rats using miRNA arrays. The work presented herein represents a comprehensive dataset derived from normal samples profiled in a single study. Here we present the whole dataset with miRNA profiles of multiple organs, as well as precise information on experimental procedures and organ-specific miRNAs identified in this dataset.</jats:p>",,,,-16,FALSE,"plant_hits=0; trait_hits=0; measurement_hits=0; exclude_hits=2","10.1038/sdata.2014.5","https://doi.org/10.1038/sdata.2014.5","","2014-05"
"scientific_data","10.1038/sdata.2014.8","2014-05","Time-resolved gene expression profiling during reprogramming of C/EBPα-pulsed B cells into iPS cells","Bruno Di Stefano; Samuel Collombet; Thomas Graf","",,,,-8,FALSE,"plant_hits=0; trait_hits=0; measurement_hits=0; exclude_hits=1","10.1038/sdata.2014.8","https://doi.org/10.1038/sdata.2014.8","10.6084/m9.figshare.939408","2014-05"
"scientific_data","10.1038/sdata.2014.6","2014-05","microclim: Global estimates of hourly microclimate based on long-term monthly climate averages","Michael R Kearney; Andrew P Isaac; Warren P Porter","",,,,0,FALSE,"plant_hits=0; trait_hits=0; measurement_hits=0; exclude_hits=0","10.1038/sdata.2014.6","https://doi.org/10.1038/sdata.2014.6","10.6084/m9.figshare.878253","2014-05"
"scientific_data","10.1038/sdata.2014.15","2014-06","Tree of Sex: A database of sexual systems","Tia-Lynn Ashman; Doris Bachtrog; Heath Blackmon; Emma E Goldberg; Matthew W Hahn; Mark Kirkpatrick; Jun Kitano; Judith E Mank; Itay Mayrose; Ray Ming; Sarah P Otto; Catherine L Peichel; Matthew W Pennell; Nicolas Perrin; Laura Ross; Nicole Valenzuela; Jana C Vamosi","<jats:title>Abstract</jats:title><jats:p>The vast majority of eukaryotic organisms reproduce sexually, yet the nature of the sexual system and the mechanism of sex determination often vary remarkably, even among closely related species. Some species of animals and plants change sex across their lifespan, some contain hermaphrodites as well as males and females, some determine sex with highly differentiated chromosomes, while others determine sex according to their environment. Testing evolutionary hypotheses regarding the causes and consequences of this diversity requires interspecific data placed in a phylogenetic context. Such comparative studies have been hampered by the lack of accessible data listing sexual systems and sex determination mechanisms across the eukaryotic tree of life. Here, we describe a database developed to facilitate access to sexual system and sex chromosome information, with data on sexual systems from 11,038 plant, 705 fish, 173 amphibian, 593 non-avian reptilian, 195 avian, 479 mammalian, and 11,556 invertebrate species.</jats:p>",,,,-37,FALSE,"plant_hits=3; trait_hits=0; measurement_hits=1; exclude_hits=6","10.1038/sdata.2014.15","https://doi.org/10.1038/sdata.2014.15","10.5061/dryad.v1908","2014-06"
